Oragn,DICE mean,AJI mean,PQ mean
Human_AdrenalGland,0.8082479147883889,0.512162512184363,0.38495580736807583
Human_Larynx,0.9064549169190484,0.5205904353609351,0.32498048791404305
Human_LymphNodes,0.8990520042535234,0.5169982762242341,0.3633130917901315
Human_Mediastinum,0.9396834629259326,0.5747770073261159,0.4359160526021914
Human_Pancreas,0.9291697148588237,0.5858571659709222,0.45109882433628123
Human_Pleura,0.9569811958559615,0.614579517246648,0.47305828401130673
Human_Skin,0.9572939075605351,0.6893640532089732,0.5363452760629198
Human_Testes,0.9714317386900775,0.6352300112578763,0.5254452059687446
Human_Thymus,0.950266496065424,0.6791001983082966,0.6890069804982275
Human_ThyroidGland,0.9720951902801467,0.7099480172078735,0.5733027166359735
