Oragn,DICE mean,AJI mean,PQ mean
Human_AdrenalGland,0.8076169245158807,0.5081718474667427,0.45224211870653724
Human_Larynx,0.9065306579052036,0.44322488321873404,0.5318922355985726
Human_LymphNodes,0.9013327555994258,0.34946754539410896,0.45082943586795743
Human_Mediastinum,0.9407803880364809,0.3424280260117287,0.48323443392900184
Human_Pancreas,0.9293949311080839,0.4932398598306718,0.5377273605655345
Human_Pleura,0.957443865767075,0.5704081477601761,0.6784664511078887
Human_Skin,0.9576302207745927,0.5707193902783588,0.6357967769219744
Human_Testes,0.9727194061561351,0.422600493355857,0.5599639774570729
Human_Thymus,0.9505670303379935,0.4461393593747512,0.5509212737561864
Human_ThyroidGland,0.9730206059384647,0.5874381144158742,0.7219586685507992
