Oragn,DICE mean,AJI mean,PQ mean
Human_AdrenalGland,0.7756248077349733,0.4752760515947732,0.44722440247934486
Human_Larynx,0.9095156117490787,0.4528774871646717,0.539360292575114
Human_LymphNodes,0.8857307035730068,0.35404401996705825,0.46390577033782815
Human_Mediastinum,0.9324952851758009,0.34895856767234695,0.4794285926340393
Human_Pancreas,0.8704705347735323,0.44611088267633514,0.40385640580847415
Human_Pleura,0.9523994661198855,0.5664855977092468,0.6437484723803135
Human_Skin,0.9535692384810099,0.5569275811583786,0.6334684767793468
Human_Testes,0.9680601099992812,0.43381499000574825,0.5653999538231828
Human_Thymus,0.9493130323082184,0.4774992550641876,0.5661559287868619
Human_ThyroidGland,0.9735630270942194,0.5794765244266508,0.696047488713409
