Oragn,DICE mean,AJI mean,PQ mean
Human_AdrenalGland,0.7755565199001234,0.3525702353649012,0.1902309250059849
Human_Larynx,0.9085599073288325,0.4281310971681173,0.26772327473035745
Human_LymphNodes,0.8825550166169057,0.4034697255036757,0.24002046885817185
Human_Mediastinum,0.9294200766562924,0.4665914067952606,0.33646897386900076
Human_Pancreas,0.8713098541498807,0.4280723232302974,0.24084962524456963
Human_Pleura,0.9516244589183848,0.49749312300952053,0.31056495580187293
Human_Skin,0.9530996379874089,0.5758085365219131,0.3525100570352548
Human_Testes,0.9667534626147076,0.5455834895565846,0.3432264193665148
Human_Thymus,0.9468596859647217,0.6010622832064728,0.414729255645994
Human_ThyroidGland,0.9731324799898274,0.6132789673437276,0.3828873954492254
