Oragn,DICE mean,AJI mean,PQ mean
Human_AdrenalGland,0.8109551744685582,0.49271494785995396,0.4430639042852175
Human_Larynx,0.8222234392869239,0.48777488737730207,0.4640435919143777
Human_LymphNodes,0.9140427179530782,0.39719870591516954,0.497160708063107
Human_Mediastinum,0.9360007944916763,0.39291001656944236,0.5042368879873451
Human_Pancreas,0.9528063011739984,0.5414370483293723,0.6229191614395567
Human_Pleura,0.9544050809338307,0.567073103988793,0.6868892607144476
Human_Skin,0.9422357661651479,0.5460180532229028,0.6047248535247304
Human_Testes,0.959992051031524,0.4284179947211686,0.561811803875174
Human_Thymus,0.9390337290424325,0.5220909757056612,0.5852604869827815
Human_ThyroidGland,0.9753618264161923,0.5828963546990058,0.7101703904525886
