Oragn,DICE mean,AJI mean,PQ mean
Human_AdrenalGland,0.8126703055010293,0.4919107323851956,0.40519770974126645
Human_Larynx,0.8216982203000999,0.43518876436115317,0.2991701832141376
Human_LymphNodes,0.9070162714712252,0.5416053183642636,0.46618641856718135
Human_Mediastinum,0.927665014214107,0.5273851219377502,0.4595989432852871
Human_Pancreas,0.9509658272929391,0.5448467689782287,0.4740284166741509
Human_Pleura,0.952142779833431,0.5399296174765736,0.47278876731467584
Human_Skin,0.9399043881401591,0.46791393403544196,0.36252859373555396
Human_Testes,0.9550492339874287,0.461002226541206,0.36005489190724943
Human_Thymus,0.9158318128122231,0.5042503062044279,0.4183061413750055
Human_ThyroidGland,0.9739292283297587,0.5176956601156736,0.3695220496819878
